Order ID,Location ID,TotalProfit,TotalSales,TotalQuantity,Order Date,Ship Date,Customer ID
CA-2014-106264,142,1.23,15.39,5,58,125,242
CA-2014-106376,27,174.29,1280.99,12,29,325,29
CA-2014-106439,13,122.55,1007.94,45,656,130,55
CA-2014-106572,392,19.82,264.32,2,742,1076,413
CA-2014-106719,426,2.69,8.29,2,829,829,516
CA-2014-106726,141,327.95,1261.33,7,776,589,276
CA-2014-106803,191,54.8,144.36,6,282,98,290
CA-2014-106810,104,23.32,310.88,2,287,671,295
CA-2014-106971,546,95.19,475.94,7,814,78,298
CA-2014-107139,25,67.86,180.96,6,260,384,503
CA-2014-107153,128,12.49,46.26,3,450,462,433
CA-2014-107181,142,45.1,117.14,7,519,1214,489
CA-2014-107398,47,-23.54,30.25,15,55,1194,29
CA-2014-107454,23,40.16,124.2,13,981,1231,742
CA-2014-107524,29,22.81,47.76,7,1086,1288,607
CA-2014-107573,328,7.63,23.47,3,432,506,171
CA-2014-107594,170,22.15,79.56,3,779,522,13
CA-2014-107706,14,6.07,16.18,3,1047,1402,461
CA-2014-107755,204,49.6,115.36,7,315,181,316
CA-2014-107769,591,74.81,257.98,2,919,301,387
CA-2014-107811,31,68.95,661.5,7,333,523,156
CA-2014-107818,513,235.23,1771.52,21,78,80,507
CA-2014-107916,187,10.81,25.95,5,829,86,687
CA-2014-108147,255,109.52,1745.36,8,785,604,502
CA-2014-108182,613,-14.77,8.95,2,644,1429,111
CA-2014-108189,286,133.77,598.15,18,852,1082,20
CA-2014-108273,143,-62.25,92.86,9,757,1059,719
CA-2014-108609,203,-734.53,1421.66,8,656,981,321
CA-2014-108707,2,3.63,10.37,2,745,194,626
CA-2014-108861,59,51.36,136.96,4,1061,106,570
CA-2014-108903,47,5.53,212.95,10,462,462,157
CA-2014-109043,475,46.82,243.6,10,860,654,394
CA-2014-109127,285,7.95,17.28,6,1059,1261,547
CA-2014-109134,141,8.82,20.04,6,1127,849,368
CA-2014-109218,25,10.37,32.4,5,479,1364,255
CA-2014-109232,422,87.35,545.94,6,286,360,444
CA-2014-109302,100,98.1,196.21,7,1132,559,728
CA-2014-109491,238,29.34,82.63,7,980,1390,18
CA-2014-109680,304,54.09,386.34,2,191,1148,778
CA-2014-109855,29,65.43,380.74,5,416,742,23
CA-2014-109890,198,10.07,35.98,2,609,923,310
CA-2014-109897,34,82.01,891.78,11,1132,559,572
CA-2014-109904,29,4.49,17.94,3,686,1255,541
CA-2014-109918,86,48.52,131.84,11,557,171,756
CA-2014-109932,230,24.49,247.79,5,337,1360,778
CA-2014-110030,14,-14.39,23.98,3,776,589,166
CA-2014-110065,29,43.74,151.95,8,79,430,70
CA-2014-110072,55,12.91,93.89,4,68,919,67
CA-2014-110100,124,37.8,302.38,3,573,333,62
CA-2014-110184,1,73.75,505.69,17,136,1289,408
CA-2014-110219,65,-9.13,127.87,3,952,1204,12
CA-2014-110352,66,8.88,23.68,2,533,503,525
CA-2014-110408,153,444.69,2216.8,14,638,22,127
CA-2014-110422,123,4.1,25.25,3,1236,1212,483
CA-2014-110527,88,9.6,20.88,8,128,559,525
CA-2014-110555,150,124.94,410.1,15,909,891,514
CA-2014-110611,74,-13.64,83.92,5,191,303,557
CA-2014-110639,29,34.94,71.84,8,709,709,302
CA-2014-110786,94,479.94,1365.63,36,282,98,295
CA-2014-110849,13,108.14,323.46,15,891,488,252
CA-2014-111003,100,104.79,334.68,9,106,571,128
CA-2014-111059,59,31.56,97.11,5,511,644,483
CA-2014-111150,339,27.74,77.21,14,520,1038,338
CA-2014-111157,74,33.2,154.62,4,1086,1247,468
CA-2014-111192,5,259.89,1367.84,8,1021,79,747
CA-2014-111360,75,-4.59,5.74,3,156,953,401
CA-2014-111451,97,20.88,855.27,22,58,129,126
CA-2014-111500,366,187.74,484.79,20,654,1342,137
CA-2014-111773,23,4.87,13.92,3,290,1364,600
CA-2014-111857,9,22.99,48.91,1,488,759,134
CA-2014-111871,94,70.49,1198.33,10,772,90,735
CA-2014-111899,66,4.69,43.31,8,417,952,396
CA-2014-111934,101,22.01,47.32,3,952,1118,241
CA-2014-111962,60,156.61,817.8,7,411,777,432
CA-2014-112158,45,-41.94,1050.6,17,266,774,273
CA-2014-112291,141,85.6,233.45,7,1233,918,722
CA-2014-112326,17,-65.99,288.06,8,277,1271,285
CA-2014-112403,74,-0.6,0.85,1,691,691,123
CA-2014-112718,133,-0.86,1.17,1,757,1059,634
CA-2014-112837,569,21.75,127.95,3,1102,1101,752
CA-2014-112851,458,85.98,182.94,3,328,158,749
CA-2014-113047,455,3.79,11.85,3,745,745,275
CA-2014-113166,123,3.47,9.57,2,163,58,166
CA-2014-113257,581,93.4,328.59,11,757,1307,253
CA-2014-113271,34,29.47,172.09,14,868,686,284
CA-2014-113320,232,9.58,30.72,9,432,534,109
CA-2014-113362,144,14.07,460.22,8,80,111,195
CA-2014-113383,597,98.59,336.82,9,1076,103,11
CA-2014-113579,13,41.51,90.24,6,736,534,44
CA-2014-113768,25,24.8,287.46,8,8,946,692
CA-2014-113859,456,-9.72,340.12,6,103,328,604
CA-2014-113880,386,-166.44,651.59,9,72,1195,665
CA-2014-113887,45,26.63,55.48,1,267,884,274
CA-2014-113929,419,44.3,115.95,12,737,261,237
CA-2014-113964,164,6.92,18.46,4,865,587,655
CA-2014-114125,13,19.62,68.7,11,868,985,689
CA-2014-114181,63,-211.68,372.28,12,1025,287,314
CA-2014-114195,630,-4.23,94.26,7,301,935,105
CA-2014-114251,105,-127.16,1476.84,17,1127,849,198
CA-2014-114314,145,7.36,16.23,5,856,771,587
CA-2014-114321,497,575.92,1417.35,16,1071,55,714
CA-2014-114335,475,16.85,337.09,4,450,462,190
CA-2014-114433,232,52.49,149.97,3,8,826,268
CA-2014-114510,504,46.97,280.28,21,619,1093,639
CA-2014-114517,23,-3.72,109.84,5,851,422,260
CA-2014-114643,3,4.79,14.52,3,604,1103,524
CA-2014-114790,126,223.98,782.63,11,518,1417,524
CA-2014-115049,36,38.46,153.82,11,467,1201,462
CA-2014-115056,47,1.96,26.14,3,1073,1073,239
CA-2014-115084,464,145.28,605.34,6,638,68,624
CA-2014-115133,403,12.82,52.75,12,467,587,526
CA-2014-115161,168,3.42,290.67,2,867,563,702
CA-2014-115259,47,67.7,199.26,25,55,9,53
CA-2014-115336,36,-23.89,14.48,5,728,641,448
CA-2014-115357,37,22.65,62.91,3,908,430,288
CA-2014-115791,63,-5.93,299.96,14,360,1039,111
CA-2014-115812,3,300.78,3714.29,38,3,1027,3
CA-2014-115889,34,110.47,409.3,4,981,1231,129
CA-2014-115973,93,0.43,2.62,1,156,35,159
CA-2014-115980,375,3.99,9.51,6,858,866,100
CA-2014-116190,148,104.15,256.48,18,711,601,495
CA-2014-116239,37,17.74,354.9,5,530,530,52
CA-2014-116246,45,420.59,3785.29,6,171,328,560
CA-2014-116407,340,37.4,362.18,9,647,871,440
CA-2014-116568,262,13.97,186.3,4,637,414,298
CA-2014-116666,63,240.0,1799.97,5,1204,1025,409
CA-2014-116673,88,1.97,6.16,2,534,174,123
CA-2014-116757,14,16.26,47.23,11,479,1129,99
CA-2014-116785,1,12.01,34.0,7,759,1013,762
CA-2014-116834,60,77.69,408.47,16,856,1079,656
CA-2014-116904,39,4668.7,9900.19,17,865,450,183
CA-2014-116932,34,103.17,1173.62,8,609,739,545
CA-2014-117016,493,2.33,15.55,3,530,1387,183
CA-2014-117317,3,6.59,13.44,3,538,538,223
CA-2014-117345,43,57.64,202.89,10,601,79,541
CA-2014-117429,11,21.11,129.92,5,273,303,280
CA-2014-117464,34,162.74,1136.09,20,192,1362,268
CA-2014-117478,11,-5.04,6.57,3,158,146,405
CA-2014-117639,220,1449.52,3333.9,10,371,594,360
CA-2014-117709,30,21.06,46.8,4,417,1204,400
CA-2014-117765,312,178.27,643.78,11,557,103,46
CA-2014-118192,55,10.57,40.85,9,286,1039,462
CA-2014-118276,586,-4.8,8.74,3,282,98,450
CA-2014-118304,21,5.19,19.98,2,333,417,347
CA-2014-118339,87,108.19,249.92,31,461,977,202
CA-2014-118962,25,84.36,472.04,12,79,128,79
CA-2014-118976,308,141.78,526.96,14,582,523,501
CA-2014-119032,45,1.32,3.76,2,501,640,474
CA-2014-119144,141,17.56,730.85,10,912,728,251
CA-2014-119151,29,17.96,1393.87,7,641,503,486
CA-2014-119172,26,-166.88,122.05,12,218,1237,787
CA-2014-119375,285,833.76,3116.49,15,664,754,289
CA-2014-119466,36,-7.48,8.54,2,534,1059,133
CA-2014-119529,416,2.82,5.76,2,935,1127,664
CA-2014-119977,164,55.76,123.92,4,1169,303,35
CA-2014-120096,42,65.38,209.97,6,1129,970,722
CA-2014-120243,25,5.43,11.56,4,422,125,401
CA-2014-120278,512,90.43,317.48,14,845,607,333
CA-2014-120411,155,-67.01,504.55,7,59,865,766
CA-2014-120432,553,6.63,25.5,3,829,86,61
CA-2014-120474,7,686.47,2854.48,12,588,640,261
CA-2014-120544,351,-88.04,46.09,12,533,501,164
CA-2014-120670,2,239.98,799.92,10,981,1231,451
CA-2014-120768,256,240.6,1979.89,21,174,1059,5
CA-2014-120775,162,-23.29,57.91,15,462,273,709
CA-2014-120838,1,123.7,935.15,8,893,959,22
CA-2014-120852,70,-57.73,84.87,7,414,1261,576
CA-2014-120887,103,37.64,87.54,3,127,462,131
CA-2014-120950,112,20.97,43.68,6,1231,7,654
CA-2014-121006,374,299.8,1194.87,17,849,912,710
CA-2014-121167,265,6.04,17.25,2,683,953,373
CA-2014-121286,182,7.82,66.62,8,130,1068,21
CA-2014-121573,29,240.7,840.72,8,935,845,611
CA-2014-121629,16,-199.77,998.85,5,683,266,537
CA-2014-121664,13,52.78,140.74,8,457,1025,6
CA-2014-121727,47,1.74,10.72,2,710,829,600
CA-2014-121762,5,114.11,560.55,7,1047,1087,504
CA-2014-121769,213,-94.66,172.11,1,918,791,365
CA-2014-122070,24,124.79,257.75,11,1150,1300,692
CA-2014-122217,220,48.91,111.15,5,156,503,6
CA-2014-122336,11,-388.4,630.75,39,138,1256,63
CA-2014-122567,77,-15.66,9.04,5,456,805,438
CA-2014-122588,469,20.12,52.96,2,641,501,481
CA-2014-122609,296,18.69,153.11,5,607,728,24
CA-2014-122679,141,6.49,19.68,6,192,1064,437
CA-2014-122749,336,134.39,479.96,4,640,337,159
CA-2014-122882,63,-561.15,539.07,10,557,103,115
CA-2014-122931,63,-413.51,2358.67,27,411,462,416
CA-2014-123064,155,1.64,5.25,4,479,779,154
CA-2014-123127,255,4.2,16.78,2,78,171,407
CA-2014-123225,294,46.83,586.34,6,384,686,438
CA-2014-123253,346,1.03,3.91,1,963,55,368
CA-2014-123260,3,22.98,176.8,8,86,1194,86
CA-2014-123295,115,-25.91,259.14,4,667,667,571
CA-2014-123316,184,2.81,7.75,3,303,1136,259
CA-2014-123323,94,46.18,123.14,7,845,607,23
CA-2014-123344,9,8.48,211.96,4,146,411,148
CA-2014-123400,104,1.35,199.3,7,563,1330,518
CA-2014-123477,330,6.49,64.86,4,1039,1236,694
CA-2014-123498,16,-17.33,100.4,6,845,187,568
CA-2014-123855,1,12.23,139.8,5,1228,670,498
CA-2014-123925,112,11.21,40.05,3,506,174,167
CA-2014-124023,272,2.78,8.96,2,884,1276,307
CA-2014-124079,51,3.53,93.17,5,736,506,575
CA-2014-124247,379,70.2,1403.92,5,757,1059,741
CA-2014-124394,581,-35.25,130.76,8,1136,68,14
CA-2014-124429,188,-21.17,926.44,14,279,279,186
CA-2014-124464,285,11.05,39.48,1,686,836,776
CA-2014-124478,190,436.1,1109.73,15,233,1132,15
CA-2014-124513,164,17.17,66.03,3,158,794,359
CA-2014-124618,152,90.0,479.98,2,1073,417,750
CA-2014-124646,39,9.72,663.75,6,169,1218,231
CA-2014-124688,28,481.45,1812.01,12,9,550,566
CA-2014-124702,59,149.95,867.74,6,728,641,186
CA-2014-124709,34,38.08,238.0,2,923,1378,543
CA-2014-124723,574,41.93,489.23,2,79,1132,47
CA-2014-124730,550,139.19,414.63,24,35,35,201
CA-2014-124737,76,98.58,424.37,31,709,9,275
CA-2014-124807,26,16.28,59.7,13,136,858,250
CA-2014-124856,164,445.89,1609.32,18,411,462,436
CA-2014-125136,306,35.02,106.95,10,450,462,470
CA-2014-125150,1,17.47,232.88,5,1174,235,463
CA-2014-125171,29,7.06,14.4,5,1010,1010,369
CA-2014-125514,198,21.52,68.71,6,158,358,312
CA-2014-125542,63,87.38,521.23,11,29,1035,240
CA-2014-125556,69,254.24,876.73,17,687,912,586
CA-2014-125612,45,51.15,163.62,14,93,233,318
CA-2014-125682,148,4.88,9.96,2,754,641,516
CA-2014-125731,427,156.3,1508.77,12,1076,1101,52
CA-2014-125759,283,5.53,14.56,2,1214,1330,134
CA-2014-125829,62,159.64,1729.42,21,130,7,576
CA-2014-125997,164,992.71,3519.37,25,59,865,596
CA-2014-126032,105,1.08,86.38,3,670,307,574
CA-2014-126193,622,-536.13,321.98,13,557,80,757
CA-2014-126200,32,-59.61,38.06,6,55,550,555
CA-2014-126277,47,-2.0,2.5,3,103,1265,23
CA-2014-126333,483,1.81,5.18,1,851,129,545
CA-2014-126361,268,576.55,2126.03,27,472,128,104
CA-2014-126403,111,543.57,2304.37,16,340,171,645
CA-2014-126480,142,3.85,8.56,2,59,146,428
CA-2014-126522,246,15.64,53.94,3,416,742,398
CA-2014-126683,60,402.26,2354.98,11,411,1201,452
CA-2014-126760,283,110.7,1891.31,17,711,1094,27
CA-2014-126802,26,-50.67,38.98,3,282,956,233
CA-2014-126907,26,5.1,15.7,3,301,1068,416
CA-2014-126963,294,11.88,36.54,2,345,345,519
CA-2014-127012,59,26.87,76.28,4,430,860,411
CA-2014-127131,5,79.74,721.48,19,156,953,403
CA-2014-127159,201,10.78,34.79,7,552,1237,332
CA-2014-127166,32,-37.61,186.9,12,371,235,347
CA-2014-127187,23,62.39,129.98,2,774,589,434
CA-2014-127299,43,-937.41,2692.32,9,111,146,252
CA-2014-127383,294,17.97,49.57,2,520,956,698
CA-2014-127446,174,-117.86,1273.62,17,641,953,565
CA-2014-127488,219,1.67,4.61,2,358,146,333
CA-2014-127523,290,9.7,35.91,3,218,598,410
CA-2014-127558,141,155.33,803.04,8,647,728,757
CA-2014-127586,60,80.63,310.12,2,467,587,37
CA-2014-127614,337,186.74,1508.13,11,1058,1162,173
CA-2014-127691,23,59.26,165.94,4,192,923,191
CA-2014-127859,63,41.15,126.62,6,461,1424,425
CA-2014-127866,215,185.38,602.43,11,836,149,63
CA-2014-127936,29,8.07,21.24,3,814,1366,52
CA-2014-127964,45,54.65,161.07,9,223,1288,399
CA-2014-128055,34,267.42,726.55,4,691,267,397
CA-2014-128062,63,1.98,5.88,1,84,754,57
CA-2014-128146,100,358.28,1326.69,9,261,402,72
CA-2014-128209,250,676.46,6160.62,13,664,754,218
CA-2014-128237,94,31.46,92.36,14,727,809,244
CA-2014-128524,60,784.8,2158.69,10,7,1408,89
CA-2014-128538,414,3.74,7.64,1,856,771,238
CA-2014-128622,94,3.28,10.95,3,647,664,609
CA-2014-128839,337,111.89,254.97,12,78,103,74
CA-2014-128846,37,224.05,752.92,8,884,791,276
CA-2014-128888,14,204.07,604.66,9,647,754,287
CA-2014-128986,276,33.72,93.02,3,93,79,689
CA-2014-129091,112,460.34,1022.61,13,754,501,19
CA-2014-129147,81,-131.51,609.43,16,981,1231,702
CA-2014-129168,14,5.44,15.55,3,654,709,10
CA-2014-129189,162,-79.13,751.88,14,609,739,447
CA-2014-129364,160,13.81,265.79,39,589,736,621
CA-2014-129574,408,23.23,48.4,5,542,1322,656
CA-2014-129819,0,5.82,12.39,3,736,534,169
CA-2014-129924,34,-14.66,706.06,5,136,1255,141
CA-2014-129938,11,-108.27,445.8,7,534,506,182
CA-2014-130092,21,3.08,9.94,2,269,1112,277
CA-2014-130155,220,9.23,34.2,5,946,857,143
CA-2014-130274,291,10.35,21.56,7,523,952,185
CA-2014-130421,14,-459.61,176.77,3,223,1009,710
CA-2014-130428,85,89.42,1142.16,14,691,691,228
CA-2014-130449,9,39.64,100.36,14,1124,340,778
CA-2014-130575,36,-13.9,9.26,3,637,757,688
CA-2014-130624,23,196.57,697.32,9,261,1218,509
CA-2014-130673,607,-19.34,108.44,12,671,857,565
CA-2014-130729,349,11.14,34.27,3,745,194,211
CA-2014-130813,13,9.33,19.44,3,1037,1271,721
CA-2014-130869,538,2.48,7.08,3,664,871,90
CA-2014-130918,451,-1.81,7.63,3,963,829,187
CA-2014-130960,99,2.85,9.84,3,125,1038,33
CA-2014-131002,312,291.99,1040.19,17,557,171,483
CA-2014-131009,294,-61.15,574.19,20,72,1195,618
CA-2014-131051,34,28.52,58.2,3,588,29,309
CA-2014-131247,94,-12.1,205.67,2,809,527,315
CA-2014-131310,60,17.65,134.4,8,136,667,52
CA-2014-131387,34,126.0,1679.96,5,582,1013,482
CA-2014-131450,142,604.57,2049.82,18,233,860,235
CA-2014-131527,222,9.6,95.97,4,588,1035,509
CA-2014-131541,331,34.7,193.15,18,1064,1064,237
CA-2014-131800,45,43.59,158.39,10,125,1038,195
CA-2014-131905,337,91.26,321.56,10,644,1330,540
CA-2014-131926,87,1154.67,3745.63,24,106,571,108
CA-2014-131947,330,59.63,318.29,31,328,358,350
CA-2014-132010,195,35.26,389.74,14,303,771,671
CA-2014-132227,164,18.87,52.06,4,130,849,449
CA-2014-132451,188,82.52,604.99,6,467,127,580
CA-2014-132500,94,8.5,49.98,2,78,171,47
CA-2014-132542,198,7.68,15.36,2,191,1169,87
CA-2014-132612,245,245.02,1441.3,7,3,1321,383
CA-2014-132787,60,24.98,92.52,6,111,865,305
CA-2014-132801,162,10.74,107.44,10,273,36,189
CA-2014-132864,47,29.95,119.8,5,266,1035,471
CA-2014-132913,88,3.63,13.97,1,163,58,548
CA-2014-132962,105,58.99,267.55,8,103,1101,341
CA-2014-132983,390,57.59,159.98,2,582,523,103
CA-2014-133158,62,48.6,358.7,9,710,1342,694
CA-2014-133228,185,26.16,84.83,5,527,1305,384
CA-2014-133270,144,4.94,13.36,2,571,3,298
CA-2014-133305,164,29.49,67.4,9,384,858,708
CA-2014-133354,520,9.33,19.44,3,1165,1050,193
CA-2014-133389,51,-6.03,8.23,3,169,169,509
CA-2014-133424,59,22.2,60.24,6,809,527,114
CA-2014-133543,58,3.18,11.76,4,1091,58,730
CA-2014-133592,259,1071.72,2846.22,19,520,1421,454
CA-2014-133634,101,16.25,47.79,3,1127,849,256
CA-2014-133690,76,-161.59,221.35,3,93,79,94
CA-2014-133704,25,18.44,64.15,7,59,467,671
CA-2014-133753,143,17.16,142.34,5,3,604,194
CA-2014-133809,323,-10.74,21.4,10,728,533,652
CA-2014-133830,62,42.2,90.58,16,29,325,210
CA-2014-133851,34,10.78,30.46,4,3,737,320
CA-2014-133963,77,1.44,3.98,1,598,857,654
CA-2014-134061,144,5.94,17.46,2,333,417,328
CA-2014-134103,151,11.65,240.5,4,1106,519,160
CA-2014-134215,371,256.93,617.12,24,472,233,504
CA-2014-134278,164,175.0,559.99,1,522,1001,212
CA-2014-134313,76,252.32,2027.15,7,301,845,154
CA-2014-134551,84,87.45,732.31,15,414,1261,700
CA-2014-134572,32,-222.02,1190.53,12,1017,1150,277
CA-2014-134621,84,-14.59,18.24,2,1059,129,503
CA-2014-134677,142,1.91,9.09,3,191,982,190
CA-2014-134726,60,19.72,94.73,3,981,845,406
CA-2014-135090,1,24.22,53.82,9,754,35,727
CA-2014-135405,161,10.92,40.54,5,232,286,234
CA-2014-135608,224,66.3,649.6,7,589,325,600
CA-2014-135657,60,113.49,515.88,6,561,159,56
CA-2014-135699,94,60.27,123.28,4,550,550,511
CA-2014-135755,231,18.51,51.08,6,523,1025,720
CA-2014-135993,60,7.95,85.01,10,1061,270,601
CA-2014-136280,105,1.76,5.04,2,503,776,476
CA-2014-136336,0,0.0,828.84,6,419,759,587
CA-2014-136399,13,142.85,1308.2,13,757,506,385
CA-2014-136567,245,623.2,2884.37,14,414,1059,390
CA-2014-136644,391,32.39,647.84,8,737,169,623
CA-2014-136742,207,-35.93,44.91,6,322,1276,323
CA-2014-136861,104,2.0,31.98,2,742,557,701
CA-2014-137092,155,97.99,862.2,10,22,68,60
CA-2014-137274,302,-152.72,890.84,3,1158,1063,207
CA-2014-137351,59,13.49,43.18,7,587,777,140
CA-2014-137575,45,83.99,199.98,2,908,430,577
CA-2014-137589,207,-64.43,286.34,3,935,1068,474
CA-2014-137911,222,31.07,88.77,2,1148,771,162
CA-2014-138023,176,-52.63,30.96,8,860,1368,168
CA-2014-138072,74,6.99,27.97,2,125,928,315
CA-2014-138100,164,13.28,29.5,5,1114,59,397
CA-2014-138128,63,135.59,1110.65,7,337,534,224
CA-2014-138177,523,-45.83,73.92,1,111,146,540
CA-2014-138198,131,4.52,13.9,2,667,149,691
CA-2014-138240,34,38.93,160.59,4,1148,1005,81
CA-2014-138296,212,6.88,24.56,2,29,432,116
CA-2014-138317,74,-137.96,385.27,16,261,402,508
CA-2014-138359,442,5.74,73.2,6,470,322,542
CA-2014-138436,1,8.62,66.3,3,959,809,63
CA-2014-138450,63,-12.22,249.47,16,638,68,553
CA-2014-138513,292,6.22,12.96,2,235,279,552
CA-2014-138527,182,24.68,192.43,8,171,328,272
CA-2014-138681,115,69.88,596.67,15,414,1091,564
CA-2014-138709,195,18.56,37.44,8,1129,868,474
CA-2014-138737,13,2.42,8.64,3,1035,325,224
CA-2014-138940,110,265.42,758.35,6,909,164,39
CA-2014-139017,14,7.62,46.86,2,218,826,528
CA-2014-139192,9,163.27,1213.49,13,279,106,62
CA-2014-139283,83,6.75,14.67,3,533,501,590
CA-2014-139423,416,22.07,76.12,2,301,1127,375
CA-2014-139451,34,10.37,36.29,6,36,1079,35
CA-2014-139542,74,-9.08,54.48,6,1089,194,699
CA-2014-139598,63,-22.64,361.61,11,58,520,726
CA-2014-139633,47,-4.02,5.48,4,506,163,685
CA-2014-139857,88,5.8,12.35,5,563,644,522
CA-2014-139892,65,-1878.79,10539.9,37,78,171,78
CA-2014-140004,72,2.79,13.46,5,90,727,90
CA-2014-140032,9,3.01,8.61,2,78,103,358
CA-2014-140039,286,5.96,79.4,5,103,328,21
CA-2014-140165,186,-329.56,405.45,10,8,1237,382
CA-2014-140228,55,-33.19,211.58,8,582,523,334
CA-2014-140396,23,251.17,907.56,16,1164,641,542
CA-2014-140403,360,21.25,137.63,5,982,982,184
CA-2014-140473,36,135.0,719.98,3,992,561,466
CA-2014-140487,151,57.49,212.94,3,1027,886,676
CA-2014-140662,9,432.73,1075.37,12,664,84,131
CA-2014-140732,25,115.37,707.63,15,7,1408,15
CA-2014-140795,156,206.32,468.9,6,215,511,214
CA-2014-140816,461,89.59,447.94,7,414,414,646
CA-2014-140858,11,106.72,1639.71,23,307,779,222
CA-2014-140886,378,11.25,69.22,6,587,777,608
CA-2014-141005,69,30.21,62.94,3,860,1368,394
